Name,Status,Native,population_1996,population_2006,population_2017,population_2023
Al-Maḥmūdiyah,Markaz,مركز المحمودية,194704.0,220699.0,280382.0,308140.0
Ar-Raḥmāniyah,Markaz,مركز الرحمانية,111826.0,130457.0,158015.0,177554.0
Badr,Markaz,مركز بدر,537638.5612903226,156849.0,207731.0,228670.0
Damanhūr,Kism fully urban,قسم دمنهور,209423.0,244043.0,259213.0,329572.0
Damanhūr,Markaz,مركز دمنهور,384553.0,441598.0,546841.0,590413.0
Gharb an-Nūbāriyah,Kism urban and rural parts,قسم غرب النوبارية,885.0,39240.0,118266.0,131322.0
Ḥawsh 'Īsā,Markaz,مركز حوش عيسى,183362.0,198610.0,304699.0,341942.0
Idkū,Markaz,مركز إدكو,132307.0,152248.0,214859.0,259648.0
Ityāy al-Bārūd,Markaz,مركز إيتاى البارود,338213.0,378879.0,474233.0,524144.0
Kafr ad-Dawwār,Kism urban and rural parts,قسم كفر الدوار,232387.0,262751.0,302368.0,346539.0
Kafr ad-Dawwār,Markaz,مركز كفر الدوار,449216.0,523070.0,699219.0,754924.0
Kawm Ḥamādah,Markaz,مركز كوم حمادة,537638.5612903226,396683.0,494905.0,543032.0
Rashīd,Markaz,مركز رشيد,162096.0,193643.0,270171.0,311345.0
Shubrākhīt,Markaz,مركز شبراخيت,201789.0,226807.0,276121.0,304562.0
Wadi an-Natrun,Markaz,مركز وادى النطرون,25645.0,72100.0,78518.0,91205.0
Al-Fayyūm,Governorate,الفيوم,1989772.0,2511027.0,3596954.0,4080645.0
Al-Fayyūm,Markaz,مركز الفيوم,305314.0,380681.0,555159.0,631225.0
Al-Fayyūm 1 & 2,Kism fully urban,قسم الفيوم,260830.0,315940.0,472314.0,531861.0
Ibshawāy,Markaz,مركز أبشواى,537638.5612903226,294676.0,415731.0,471818.0
Iṭsā,Markaz,مركز أطسا,393183.0,496669.0,708780.0,805146.0
Madīnat al-Fayyūm al-Jadīdah,New City,مدينة الفيوم الجديدة,0.0,0.0,394.0,444.0
Sinnūris,Markaz,مركز سنورس,332648.0,431721.0,634524.0,720113.0
Ṭāmiyah,Markaz,مركز طامية,246957.0,314511.0,446401.0,506808.0
Yūsuf aṣ-Ṣiddīq,Markaz,مركز يوسف الصديق,537638.5612903226,276829.0,363651.0,413230.0
Al-Gharbiyah,Governorate,الغربية,3404339.0,4011320.0,4999633.0,5439085.0
Al-Maḥallah al-Kubrā,Markaz,مركز المحله الكبرى,477872.0,589540.0,793686.0,833663.0
Al-Maḥallah al-Kubrā 1,Kism fully urban,قسم أول المحلة الكبرى,537638.5612903226,139182.0,158876.0,188091.0
Al-Maḥallah al-Kubrā 2,Kism fully urban,قسم ثان المحلة الكبرى,537638.5612903226,206258.0,246250.0,291539.0
Al-Maḥallah al-Kubrā 3,Kism fully urban,قسم ثالث المحلة الكبرى,537638.5612903226,96305.0,113672.0,134572.0
As-Sanṭah,Markaz,مركز السنطة,313286.0,371494.0,480888.0,510467.0
Basyūn,Markaz,مركز بسيون,212896.0,243141.0,296355.0,320056.0
Kafr az-Zayyāt,Markaz,مركز كفر الزيات,323927.0,379219.0,455856.0,488561.0
Quṭūr,Markaz,مركز قطور,245775.0,279516.0,338626.0,359424.0
Samannūd,Markaz,مركز سمنود,249672.0,298166.0,398157.0,428490.0
Ṭanṭā,Markaz,مركز طنطا,446638.0,538575.0,685038.0,719542.0
Ṭanṭā 1,Kism fully urban,قسم أول طنطا,193666.0,208579.0,268529.0,317914.0
Ṭanṭā 2,Kism fully urban,قسم ثان طنطا,179226.0,214275.0,236326.0,279780.0
Ziftā,Markaz,مركز زفتى,285593.0,352117.0,429577.0,451212.0
Ziftā,Kism fully urban,قسم زفتى,80864.0,93740.0,97797.0,115774.0
Al-Iskandariyah,Governorate,الإسكندرية,3339076.0,4123869.0,5163750.0,5546663.0
Ādārh Shurṭah Mīnā' al-Iskandariyah,Police-administrated Area,اداره شرطه ميناء الأسكندريه,824.0,556560.2875647668,705698.4640198511,784881.2686567164
Ad-Dukhaylah,Kism fully urban,قسم الدخيلة,195087.0,343836.0,472721.0,504241.0
Al-'Āmriyah 1,Kism fully urban,قسم أول العامرية,157069.0,320500.0,475071.0,506717.0
Al-'Āmriyah 2,Kism fully urban,قسم ثان العامرية,71471.0,170500.0,278266.0,296789.0
Al-'Aṭṭārīn,Kism fully urban,قسم العطارين,49165.0,40605.0,36862.0,39327.0
Al-Jumruk,Kism fully urban,قسم الجمرك,98477.0,85192.0,92316.0,98474.0
Al-Labān,Kism fully urban,قسم اللبان,47744.0,36750.0,41022.0,43764.0
Al-Manshiyah,Kism fully urban,قسم المنشية,26768.0,23616.0,23442.0,25010.0
Al-Muntazah 1,Kism fully urban,قسم أول المنتزة,502210.0,707000.0,1044142.0,1113750.0
Al-Muntazah 2,Kism fully urban,قسم ثان المنتزة,369686.0,466000.0,541430.0,577525.0
Ar-Raml 1,Kism fully urban,قسم أول الرمل,537638.5612903226,556560.2875647668,277234.0,295738.0
Ar-Raml 2,Kism fully urban,قسم ثان الرمل,537638.5612903226,556560.2875647668,630062.0,672097.0
As-Sāḥal ash-Shamāli,Area,الساحل الشمالىجزء,537638.5612903226,2554.0,2957.0,3154.0
Bāb Sharqi,Kism fully urban,قسم باب شرقى,172633.0,179729.0,226644.0,241794.0
